london_company_id,company_name,secretary,office,london_address_cleaned
abacoselangorrubber_brightandgalbraith_7_martinslane_cannonstreet_e_c_,Abaco Selangor Rubber,Bright and Galbraith,"7, Martins Lane, Cannon Street, E.C.","7, Martin Lane, Cannon Street, E.C."
abacoselangorrubber_brightandgalbraith_limited_7_martinslane_cannonstreet_e_c_,Abaco Selangor Rubber,"Bright and Galbraith, Limited","7, Martins Lane, Cannon Street, E.C.","7, Martin Lane, Cannon Street, E.C."
aboyne_clyderubberestates_a_cunningham_14_regentstreet_s_w_,Aboyne-Clyde Rubber Estates,A. Cunningham,"14, Regent Street, S.W.","14, Regent Street, S.W."
aboyne_clyderubberestatesofceylon_a_cunningham_14_regentstreet_s_w_,Aboyne-Clyde Rubber Estates of Ceylon,A. Cunningham,"14, Regent Street, S.W.","14, Regent Street, S.W."
aboyneclyderubberestates_a_cunningham_14_regentstreet_s_w_,Aboyne Clyde Rubber Estates,A. Cunningham,"14, Regent Street, S.W.","14, Regent Street, S.W."
aboyneclyderubberestates_a_cunningham_14_regentstreet_sw,Aboyne Clyde Rubber Estates,A. Cunningham,"14, Regent Street, SW","14, Regent Street, S.W."
aboyneclyderubberestatesofceylon_a_cunningham_14_regentstreet_s_w_,Aboyne Clyde Rubber Estates of Ceylon,A. Cunningham,"14, Regent Street, S.W.","14, Regent Street, S.W."
aboyneclyderubberestatesofceylon_a_cunningham_14_regentstreet_s_w_1,Aboyne Clyde Rubber Estates of Ceylon,A. Cunningham,"14, Regent Street, S.W.1","14, Regent Street, S.W.1"
aboyneclyderubberestatesofceylon_a_cunningham_14_regentstreet_s_w_i,Aboyne Clyde Rubber Estates of Ceylon,A. Cunningham,"14, Regent Street, S.W.I","14, Regent Street, S.W.1"
aboyneclyderubberestatesofceylon_e_morrisse_152_clerkenwellroad_e_c_,Aboyne Clyde Rubber Estates of Ceylon,E. Morrisse,"152, Clerkenwell Road, E.C.","152, Clerkenwell Road, E.C."
aboyneclyderubberestatesofceylon_e_morrisse_9_parkplace_st_james_sstreet_s_w_1,Aboyne Clyde Rubber Estates of Ceylon,E. Morrisse,"9, Park Place, St. James's Street, S.W.1","9, Park Place, St. James's Street, S.W.1"
aboyneclyderubberestatesofceylon_e_morrisse_9_parkplace_st_jamesstreet_s_w_,Aboyne Clyde Rubber Estates of Ceylon,E. Morrisse,"9, Park Place, St. James Street, S.W.","9, Park Place, St. James's Street, S.W."
adamspeakteaestates_r_g_shawandco__winchesterhouse_oldbroadstreet_e_c_,Adams Peak Tea Estates,R. G. Shaw and Co.,"Winchester House, Old Broad Street, E.C.","Winchester House, Old Broad Street, E.C."
adamspeakteaestates_r_g_shawandco__winchesterhouse_oldbroadstreete_c_,Adams Peak Tea Estates,R. G. Shaw and Co.,"Winchester House, Old Broad Street E.C.","Winchester House, Old Broad Street, E.C."
adamspeakteaestates_r_g_shawandco_winchesterhouse_oldbroadstreete_c_,Adams Peak Tea Estates,R. G. Shaw and Co,"Winchester House, Old Broad Street E.C.","Winchester House, Old Broad Street, E.C."
aengson_java_rubberplantations_burtandco__41_eastcheap_e_c_,Aengson (Java) Rubber Plantations,Burt and Co.,"41, Eastcheap, E.C.","41, Eastcheap, E.C."
aengson_java_rubberplantations_limited_burtandco__41_eastcheap_e_c_,"Aengson (Java) Rubber Plantations, Limited",Burt and Co.,"41, Eastcheap, E.C.","41, Eastcheap, E.C."
aengsono_java_rubber_burtandco__41_eastcheap_e_c_,Aengsono (Java) Rubber,Burt and Co.,"41, Eastcheap, E.C.","41, Eastcheap, E.C."
